,vintage,score,release_price,bottle_name,winery,review_text,Magazine,review_link,Region,source
33,"<td class=""d-none d-md-table-cell border-0"">2020</td>","<td class=""d-none d-md-table-cell border-0"">89</td>","<td class=""d-none d-md-table-cell border-0"">$19</td>",Pinot Gris Willamette Valley,Elk Cove,"Expressive aromas of lime and jasmine flower open this version, with appealing stone fruit and spice flavors that finish on a lush accent. Drink now. 11,696 cases made.",Magazine Issue Web Only - 2021,https://www.winespectator.com/wine/wine-detail/id/1283113/name/elk-cove-pinot-gris-willamette-valley-2020,"['Oregon', 'Willamette Valley']",Wine Spectator
34,"<td class=""d-none d-md-table-cell border-0"">2020</td>","<td class=""d-none d-md-table-cell border-0"">89</td>","<td class=""d-none d-md-table-cell border-0"">$36</td>",Brut Willamette Valley Bluebird Cuvée,Sokol Blosser,"Snappy and beautifully floral, with kiwi and lime flavors laced with nutty spices. Pinot Noir, Chardonnay, Riesling, Müller Thurgau and Muscat. Drink now. 1,720 cases made.",Magazine Issue Web Only - 2022,https://www.winespectator.com/wine/wine-detail/id/1292909/name/sokol-blosser-brut-willamette-valley-bluebird-cuv%C3%A9e-2020,"['Oregon', 'Willamette Valley']",Wine Spectator
35,"<td class=""d-none d-md-table-cell border-0"">2020</td>","<td class=""d-none d-md-table-cell border-0"">89</td>","<td class=""d-none d-md-table-cell border-0"">$25</td>",Chardonnay Dundee Hills,Stoller,"Crisp yet supple, with generous tropical fruit and spice flavors that flesh out on a long finish. Drink now. 7,000 cases made.","Magazine Issue Mar 31, 2022",https://www.winespectator.com/wine/wine-detail/id/1283818/name/stoller-chardonnay-dundee-hills-2020,"['Oregon', 'Willamette Valley', 'Dundee Hills']",Wine Spectator
36,"<td class=""d-none d-md-table-cell border-0"">2020</td>","<td class=""d-none d-md-table-cell border-0"">89</td>","<td class=""d-none d-md-table-cell border-0"">$17</td>",Pinot Gris Willamette Valley,Willamette Valley Vineyards,"A snappy white, this is clean and crisp, with lemon and lime flavors and spice accents. Drink now. 25,900 cases made.",Magazine Issue Web Only - 2021,https://www.winespectator.com/wine/wine-detail/id/1283380/name/willamette-valley-vineyards-pinot-gris-willamette-valley-2020,"['Oregon', 'Willamette Valley']",Wine Spectator
37,"<td class=""d-none d-md-table-cell border-0"">2020</td>","<td class=""d-none d-md-table-cell border-0"">88</td>","<td class=""d-none d-md-table-cell border-0"">$30</td>",Riesling Chehalem Mountains Corral Creek Vineyard,Chehalem,"Snappy and refreshing, with bright lemon verbena, orange blossom and melon flavors that linger. Drink now. 159 cases made.","Magazine Issue Sep 30, 2022",https://www.winespectator.com/wine/wine-detail/id/1288809/name/chehalem-riesling-chehalem-mountains-corral-creek-vineyard-2020,"['Oregon', 'Willamette Valley', 'Chehalem Mountains']",Wine Spectator
38,"<td class=""d-none d-md-table-cell border-0"">2020</td>","<td class=""d-none d-md-table-cell border-0"">88</td>","<td class=""d-none d-md-table-cell border-0"">$28</td>",Rosé Pinot Noir Eola-Amity Hills,Cristom,"Crisp and delicate, with pretty strawberry blossom and watermelon accents. Drink now. 321 cases made.",Magazine Issue Web Only - 2021,https://www.winespectator.com/wine/wine-detail/id/1279054/name/cristom-ros%C3%A9-pinot-noir-eola-amity-hills-2020,"['Oregon', 'Willamette Valley', 'Eola-Amity Hills']",Wine Spectator
39,"<td class=""d-none d-md-table-cell border-0"">2020</td>","<td class=""d-none d-md-table-cell border-0"">88</td>","<td class=""d-none d-md-table-cell border-0"">$17</td>",Grenache Rogue Valley Rosé,Del Rio,"Fresh and zesty, with lively watermelon, strawberry and spice flavors. Drink now. 1,196 cases made.","Magazine Issue Jul 31, 2021",https://www.winespectator.com/wine/wine-detail/id/1277525/name/del-rio-grenache-rogue-valley-ros%C3%A9-2020,"['Oregon', 'Southern Oregon', 'Rogue Valley']",Wine Spectator
40,"<td class=""d-none d-md-table-cell border-0"">2020</td>","<td class=""d-none d-md-table-cell border-0"">88</td>","<td class=""d-none d-md-table-cell border-0"">$32</td>",Pinot Noir Rogue Valley,Del Rio,"Snappy and vibrant, with cherry, dried herb and spice notes that finish with a slight tannic bite. Drink now through 2026. 1,280 cases made.",Magazine Issue Web Only - 2022,https://www.winespectator.com/wine/wine-detail/id/1286082/name/del-rio-pinot-noir-rogue-valley-2020,"['Oregon', 'Southern Oregon', 'Rogue Valley']",Wine Spectator
41,"<td class=""d-none d-md-table-cell border-0"">2020</td>","<td class=""d-none d-md-table-cell border-0"">88</td>","<td class=""d-none d-md-table-cell border-0"">$22</td>",Pinot Noir Oregon,Dough,"Easygoing but genuine to Pinot, with generous cherry and toasty spice flavors. Drink now through 2025. 9,000 cases made.",Magazine Issue Web Only - 2022,https://www.winespectator.com/wine/wine-detail/id/1284355/name/dough-pinot-noir-oregon-2020,['Oregon'],Wine Spectator
42,"<td class=""d-none d-md-table-cell border-0"">2020</td>","<td class=""d-none d-md-table-cell border-0"">88</td>","<td class=""d-none d-md-table-cell border-0"">$20</td>",Rosé Oregon,Elouan,"This festive pink is easy to drink, with strawberry, quince and toasty spice accents. Drink now. 5,500 cases made.",Magazine Issue Web Only - 2021,https://www.winespectator.com/wine/wine-detail/id/1278041/name/elouan-ros%C3%A9-oregon-2020,['Oregon'],Wine Spectator
