photo_reference,place_id,height,width,uploader_name,uploader_url
AcYSjRh_XCRqVD9gMXIkTIFNq1VlLfmyGqGXoU74oE9xsFjR3WbrJ7_eyT4PFXB8IpCMwJxAJMGbezpEGySIgLbfpcx0VYNPtaoaOIXasU-o82QVdaUepCh9N7wC_px8l61RUAal3YpM9DtqYzV2bDQX3ir2GKsRK1pJ3IrI0-cVrzD0nBvr,ChIJsQUl8WI4lVQRH7c1h2mlyxs,1800,1200,Pike Road Wines,https://maps.google.com/maps/contrib/112498923855519978563
AcYSjRjgCtHdW4vLKmeYP-0QmZ7iURnxG_S495wO9e3gCUtzJmi9-csOChX3UA_UQpD8cv1joO4ava1tusyC0SWw0H4vrLEV2CT95hYKk__ZKa2rL7XYZJnX409K5qkfoB77k4TuB_Rzw3Su0z0trUFss8D3HfRRUTJ28-necFt5yEbRkr0S,ChIJsQUl8WI4lVQRH7c1h2mlyxs,3200,4800,Pike Road Wines,https://maps.google.com/maps/contrib/112498923855519978563
AcYSjRg_Lb-qnty81lFPb08J512bJALx17kCTsW_FkEMwTR8RZRZbmuY9oZd81p6exTgW80jms8SliUn1vPHKn76xaOq7tgTD4bcHzpVCTtWUsL0OEUCt1R9Cwns_MhRGEm_3fdoy3DcPaRL5OnUtFyGVynAGxLxukl11LQ5YNgRNyO8D0-t,ChIJsQUl8WI4lVQRH7c1h2mlyxs,4032,3024,Troy Strass,https://maps.google.com/maps/contrib/116036852575766454332
AcYSjRizLfXp8Xb5944blgB2pdKTLzytWW5w47o4ZtQD9mp1gZ0qh2v0XCVUGiE8gmeG-BMIxgi5dyMh6xCfEOq74n8rEMJh7AkSf5GmsorpAXbq5t5YErMnwmlAFIE1QQ4wUFeHAVtODqould4FneDTuZaK4xHqs3e6nPXqW6rZ8UIJX94y,ChIJFxlq4W45xFQRofB1FANAgqA,1151,3867,Valentine Power,https://maps.google.com/maps/contrib/115464587571050485998
AcYSjRh3AKiP2N6J95Cpan9vg-YwXUTZoVfG3qZS2zCbI-nQxhmLB9Hwek8rvlyArZH95wwZHauNdYDHgtBja0kr_t1OmjQs1n0oszDRZ3JjwO3IQMjizZQuhaRHqoaLrjbfDNB8KHhU5tm7ojjyeTy0dflvfRL0TaaXnopKEralESltKzgD,ChIJ6zX2Hy5-l1QRa3iXwQVTJ9w,12000,9000,Monica Claros,https://maps.google.com/maps/contrib/117596277825775982966
AcYSjRijBfyfdNsuo9w5lj6PGC0aJ5Swd8NUF0oqFRzA18uMCyX5hwG6fl5ojS7P--3YYOCYN2DuAATvWtWI8pwtcWBMgJcOsjglnKg7jWDb-PXr_zUA22zLIGW841Ds3s522t94xBXVMnbw34A5Mma28PQBXaLvSxi8wgy1WUA6N3tk5U4p,ChIJ6zX2Hy5-l1QRa3iXwQVTJ9w,3492,4656,Travis Niles,https://maps.google.com/maps/contrib/113171418840746112871
AcYSjRgZBo3OoYnmfZ85VnZWJD69tv6zKyypBmhuzE3hJcxPlRlt-2uww7e5g51nIwIzlOSz-cQqG4SwfSd5JGZYcqYgMGNrnBXkLAqR4c2NkbOa6-Z3LADZ9ASBwBwa6PmFm2CVG0XLJnOI1IYYT9lZ3Y3hdV7GytKZMBS-n8_U1-YnYORX,ChIJ6zX2Hy5-l1QRa3iXwQVTJ9w,3024,4032,Eduardo Werdenberg,https://maps.google.com/maps/contrib/109483916366996661668
AcYSjRiQrAaaDjW2vSj0uqnms2QcDoGC2ZiVlMR_oYzKqgh1Cjt1avApqn2YsEFaczIhUPWQvCqkKLhHNd7urxXS9uwSTYnXVS0acyuTvnNX3WAFZj7jHUH-aV_4Vzf3F1Z9UZn6-w5xt6EkDmvqklFpMUB3WeE_iwpULs-Hy-zp9h-YY6XE,ChIJ6zX2Hy5-l1QRa3iXwQVTJ9w,12000,9000,Monica Claros,https://maps.google.com/maps/contrib/117596277825775982966
AcYSjRiUCe3HtqTCyL5TEFSzTr3OFkGZgB4JvKLRVfwsVRVfq4wuV6SVLJ6f6QZLE3VSN-Hy16G1rmPUXLawklPMMzE-WtgvgCT_AW6Qm2cKlM9zaAsRh82VDYiorWl2cPZBEb_Z9-WMOTVny_Wfcv9kyOOtkBDkLPQ51cAcneoJz4BlVLQI,ChIJ6zX2Hy5-l1QRa3iXwQVTJ9w,9000,12000,Monica Claros,https://maps.google.com/maps/contrib/117596277825775982966
AcYSjRhehDAzGNgbPhySFTm0qDwVbg_HK9kwsPgdOaWERc-gZ3dcfdqe5zv2nlfs4U3LcEHqrqCAkfan08iG-imn9t2ZEftM7DZK445AOIeK9CNVJ93htUvfFQaz0eRFTBC9ZvaV8pI6mEHNAso3gyXrBV7wSIoGShwWr7Ah_Xsgc-9NevZO,ChIJ6zX2Hy5-l1QRa3iXwQVTJ9w,3024,4032,Laura Hoffert,https://maps.google.com/maps/contrib/103094596480745818955
AcYSjRjlQIlk29e7Q0YMuC2AV6KFi5lsT5kW1wHRGRCTnjG3ahlGFrAfCMw43bueQaUpLWM1hdgO-W5tA_ZyTS1_XR2YUHlgO135EjeKH90cFiaPx7QNoOWRH_-HuxTx3TTetqsSzMnMHn65On1WJc_JtxU6KDAWm8T9mbozDWv_aqKsNMfO,ChIJ6zX2Hy5-l1QRa3iXwQVTJ9w,3024,4032,Daz Wilkin,https://maps.google.com/maps/contrib/115885638875863224835
AcYSjRgbjkN81Aceb8mQhw_nh75znQ0K_6Hy9O0urfPlXZt5GuxalmUtw2YoNdYdbVqTKTy2wmlHhyIC3hBxac_mW1mQ2Hr_JK9b_fe6c_GWykDsDQb52IkdRw1W713IWmqtwu1Dz_bun8U026ZIg9YermF63eye2zv-x0R7uxsrzwZEyzgt,ChIJ6zX2Hy5-l1QRa3iXwQVTJ9w,4032,3024,Matt Uhlman,https://maps.google.com/maps/contrib/102336831870141210083
AcYSjRgIpvX1v1NNs4wZ2h9LCrzg0sRm4mOU1UBBcQ3-X-5l6Ng32MjYowEk1LUcMZRHtIUde7mJGSgCQZ3ByIDZ_cvuB2lYFs-JqvXMr7Vv3PQdrMEmepXpobwhaQWWrVZEYY5eZ6hpapfYX-sUhmGcCI1qVra0WXN-QqqeAvpOGb0gsjWP,ChIJ6zX2Hy5-l1QRa3iXwQVTJ9w,3024,4032,Daz Wilkin,https://maps.google.com/maps/contrib/115885638875863224835
